"","Shooting","Defense","Playmaking","ShotCreating"
"Larry 0ce Jr.",-0.030479757,2.230547709,0.669431024,0.04059829
"John Henson",-2.015088583,3.414033857,0.583333333,0
"Deng Adel",-2.19751426,0.558883109,-0.155555556,0.055555556
"Ante Zizic",-2,-0.690914256,0.436421509,0.012383901
"Courtney Lee",-0.088608151,1.611066582,0.283783784,0.139534884
"Daryl Macon",-1.796242895,-4.029607666,0.301587302,0.259259259
"J.J. Barea",-0.016836283,-0.675701744,1.050754447,0.360380329
"Dwight Powell",-0.08612918,-0.370409315,0.485587304,0.006185567
"Dorian Finney-Smith",-0.066194091,1.678175374,0.559967186,0.043560606
"Tim Hardaway Jr.",0.098421225,-0.696628285,0.611891275,0.146341463
"Jalen Brunson",0.01248574,-0.616702887,0.713360769,0.326674317
"Trey Burke",0.054552731,-0.140762796,0.755310426,0.304744526
"Devin Harris",-0.041080367,-1.441416908,0.682078571,0.09221902
"Kostas Antetokounmpo",-2,24.44322508,0,0
"Dirk Nowitzki",0.001769065,-3.963246301,0.345905821,0.007978724
"Maxi Kleber",0.01436207,2.863225479,0.533694907,0.010362694
"Justin Jackson",0.021314108,-0.977391117,0.408691353,0.047520661
"Ryan Broekhoff",0.149624359,-0.287944445,0.301136364,0.039370079
"Salah Mejri",-2.078681454,-0.638443916,0.022222222,0.008928572
"Luka Doncic",0.057553107,-0.86982288,0.917165271,0.384115913
"Isaiah Thomas",-2.117694701,-0.898724573,0.202093398,0.154639175
"Torrey Craig",-0.03460831,0.086586894,0.554445465,0.044198895
"Paul Millsap",0.033632976,2.755770944,0.543215509,0.165258194
"Will Barton",0.086716928,-2.2051097,0.550263884,0.188762406
"Brandon Goodwin",-2.035220518,-3.161420559,0.23015873,0.130434783
"Trey Lyles",-0.158099525,-0.602681945,0.50699145,0.088053846
"Jarred Vanderbilt",-2.720792291,9.678067838,0.25,0
"Monte Morris",0.135167075,0.862862804,0.736316771,0.240434134
"Gary Harris",0.030522521,0.523651895,0.626862091,0.155501219
"Nikola Jokic",-0.047444534,2.664693182,0.74882697,0.141694337
"Tyler Lydon",-1.925981005,-4.542646346,0.416666667,0
"Mason Plumlee",-2.226020888,-0.492825873,0.628053762,0.081291591
"Malik Beasley",0.156905276,-1.162639613,0.468326831,0.054200542
"Jamal Murray",0.093750139,-0.354139813,0.583043129,0.24082705
"Juancho Her0gomez",0.045890679,0.848656579,0.388604708,0.009584664
"Thomas Welsh",-1.866393083,3.601408416,-0.066666667,0
"Andre Drummond",-2.430449437,2.822136104,0.479728906,0.081846374
"Reggie Jackson",0.097642839,-2.405670708,0.729654171,0.308983653
"Luke Kennard",0.145292375,-2.139019085,0.695486192,0.107692308
"Bruce Brown",-0.189467527,2.413942687,0.609326365,0.088888889
"Thon Maker",-0.051492914,0.433290743,0.443049488,0.007462687
"Langston Galloway",0.051587266,-0.824321361,0.494895816,0.032367973
"Khyri Thomas",-0.110966104,0.833979368,0.416666667,0.072463768
"Ish Smith",-0.011740337,-1.064679005,0.83028944,0.361231553
"Svi Mykhailiuk",-0.006247646,-0.867471286,0.180609181,0.028776978
"Wayne Ellington",0.177487244,-0.414817782,0.580765556,0.037199125
"Glenn Robinson III",-0.120758131,0.622275773,0.463200137,0.017142857
"Blake Griffin",0.11006342,0.365133246,0.799733612,0.34105704
"Kalin Lucas",-2.638236011,7.201324543,0,0
"Zaza Pachulia",-2.3618421,-0.270853009,0.517047934,0.031088083
"Jon Leuer",-2.555564405,-1.632717212,0.065217391,0.00877193
"Jose Calderon",-0.197459169,-2.148448471,0.821935142,0.2
"DeMarcus Cousins",-0.064590707,4.718601046,0.737651376,0.082644628
"Damion Lee",0.151909924,-1.032479745,0.468531469,0.062992125
"Jordan Bell",-2.699038768,-0.115807903,0.520089472,0.052910053
"Quinn Cook",0.126421263,-4.087641905,0.468074936,0.249773297
"Kevon Looney",-2.510480414,2.753754069,0.417995791,0.037790698
"Andre Iguodala",-0.026120388,1.304237336,0.677965123,0.039735099
"Jacob Evans",-2.191045422,-2.351205233,-0.040843215,0.153846154
"Klay Thompson",0.211461657,-0.92770635,0.545981869,0.10905831
"Andrew Bogut",-2,1.171073014,0.318181818,0.066666666
"Damian Jones",-2,0.086466551,-0.044642857,0
"Jonas Jerebko",0.0316833,-1.560970384,0.39035927,0.016997167
"Draymond Green",-0.128830247,3.794677076,0.76504802,0.063414634
"Alfonzo McKinnie",0.009733049,-2.236442061,0.424903455,0.014545455
"Stephen Curry",0.344103549,0.277037952,0.651628045,0.240415127
"Marcus Derrickson",-1.71651856,0.882154527,0.444444444,0.090909091
"Shaun Livingston",-2.380082927,-1.014206717,0.599543843,0.180952381
"Kevin Durant",0.086975327,-0.156450057,0.810699766,0.36116722
"Trevon Duval",-0.762121735,-4.828940882,0,0
"Iman Shumpert",0.052774703,0.936756298,0.532518152,0.065022422
"Chris Chiozza",-1.924271955,-8.134557989,0.083333333,0
"Chris Paul",0.113271614,1.401150982,1.14147849,0.572524391
"Danuel House Jr.",0.225127298,-0.669027287,0.617811997,0.051587302
"Gary Clark",-0.078351152,-2.132590335,0.535532627,0.006622517
"Eric Gordon",0.133728904,-2.119071608,0.720872151,0.182252556
"Vincent Edwards",-2.220817943,-2.2832939,0,0
"James Harden",0.231290512,1.149233882,1.047155482,0.886668633
"Gerald Green",0.087764116,-2.152782816,0.527528802,0.064428452
"Clint Capela",-2,1.9299462,0.463668151,0.010943912
"P.J. Tucker",0.073372874,2.007087921,0.58900455,0.007648184
"Austin Rivers",-0.019710563,-0.92384037,0.632838534,0.291901857
