"","Shooting","Defense","Playmaking","ShotCreating"
"Bogdan Bogdanovic",0.098183393,-0.184039197,0.667179234,0.239714907
"BJ Johnson",-1.799496894,-4.875655226,0,0.166666667
"Frank Mason",-0.216813679,-3.616831661,0.202380952,0.260355029
"Alec Burks",0.057145839,-1.59972592,0.573950511,0.160337553
"Troy Williams",-2.056226083,-2.981952804,0.01010101,0.051020408
"Harry Giles III",-2.712111404,-0.605261534,0.582805741,0.111894074
"Buddy Hield",0.239525135,-0.811709018,0.553874681,0.174320679
"Corey Brewer",-0.035073406,2.851776069,0.191632928,0.056910569
"Marvin Bagley III",-0.068927004,-1.807855582,0.451294732,0.144196488
"Harrison Barnes",0.140702065,-0.395421689,0.517905841,0.213696289
"Kosta Koufos",-2,-0.016915344,0.451451433,0.013071895
"Caleb Swanigan",-2.462401054,0.326278066,0.245791246,0.037735849
"Nemanja Bjelica",0.11979175,0.965789827,0.516384364,0.07153015
"Lonnie Walker IV",-1.937289842,0.725268972,0.194444444,0.173913043
"Quincy Pondexter",-2.064863057,0.483638023,0.070512821,0.103448276
"Derrick White",-0.013695796,2.990218314,0.516151416,0.28119744
"Chimezie Metu",-2.729440147,0.249033507,0.158974359,0.017241379
"Patty Mills",0.135176137,-0.92804627,0.469132422,0.146304676
"DeMar DeRozan",-2.397849987,-1.084380094,0.697093271,0.502611072
"Bryn Forbes",0.211925789,-2.209899903,0.311578457,0.146292637
"LaMarcus Aldridge",-2.237440619,1.414263641,0.351189118,0.132821888
"Drew Eubanks",-2,-0.83507942,-0.255952381,0.076923077
"Marco Belinelli",0.112230553,-2.212868079,0.447115292,0.056521739
"Rudy Gay",0.124205611,1.195299685,0.376080102,0.33631877
"Jakob Poeltl",-2,0.801859174,0.298965773,0.003448276
"Donatas Motiejunas",-2,-3.09908189,-0.333333333,0
"Dante Cunningham",0.21499634,-2.011308859,0.197227397,0.018987342
"Davis Bertans",0.216442264,1.115183713,0.378623612,0.017660044
"Patrick McCaw",-2.067623109,-2.099465634,0.382014875,0.126984127
"Kawhi Leonard",0.122360585,0.899991488,0.748433759,0.436703364
"OG Anunoby",-0.023164918,-0.297940427,0.425910596,0.137737231
"Kyle Lowry",0.101185277,1.935975743,0.774275713,0.243700365
"Jordan Loyd",-1.713941606,-5.414119096,0.166666667,0.333333333
"Serge Ibaka",-0.108811005,1.234273645,0.579536272,0.015981735
"Malcolm Miller",-1.780823215,-3.306551389,0.333333333,0
"Danny Green",0.264378825,1.433607989,0.491008861,0.055555556
"Eric Moreland",-0.729440147,-8.529299777,0.15,0
"Jeremy Lin",-0.084291913,0.967305999,0.726622337,0.282809612
"Jodie Meeks",-1.834417387,-3.106025043,0.333333333,0.025641026
"Fred VanVleet",0.111839446,-0.601172387,0.665741743,0.260449259
"Norman Powell",0.140062631,-0.594234642,0.527333948,0.192424275
"Chris Boucher",-0.022560765,-2.82250987,0.023809524,0
"Marc Gasol",0.04292101,3.624534536,0.614445028,0.029885057
"Pascal Siakam",0.0333834,1.249779966,0.650790705,0.274881608
"Joe Ingles",0.137995328,1.195728857,0.860147019,0.175018356
"Ricky Rubio",-0.040004687,0.942731901,0.920061724,0.201704545
"Dante Exum",-0.119168676,-0.013893065,0.864862719,0.336552693
"Tony Bradley",-2,-3.83355501,0.666666667,0
"Derrick Favors",-0.295001759,3.822359754,0.603598396,0.006666667
"Thabo Sefolosha",0.162676097,3.965153368,0.682812725,0.020547945
"Royce O'Neale",0.065279063,2.516185657,0.772590544,0.067647059
"Grayson Allen",-0.011947388,-5.549027311,0.240833333,0.117977528
"Raul Neto",-0.01797377,-0.138402344,0.310291859,0.283018868
"Kyle Korver",0.177103853,-0.794287416,0.577912874,0.014861996
"Rudy Gobert",-2,4.746979218,0.465785509,0.007142857
"Naz Mitrou-Long",-2.352182939,-5.716664143,0.391666667,0.25
"Georges Niang",0.116407652,-2.483711635,0.570647605,0.104972376
"Ekpe Udoh",-2,-1.501460309,0.298534799,0.014084507
"Tyler Cavanaugh",-2.340783211,-5.444598967,-0.333333333,0
"Donovan Mitchell",0.10985339,-1.072365224,0.833737945,0.339505925
"Jae Crowder",0.031978973,0.611935727,0.559023941,0.015325671
"Trevor Ariza",0.050653501,-1.978481824,0.614092237,0.059310345
"John Wall",0.053436099,-1.862955919,0.966165924,0.519272438
"Bradley Beal",0.092830711,-0.940657602,0.818224847,0.27864885
"Wesley Johnson",-0.007914726,-0.889150139,0.321144913,0.0078125
"Bobby Portis",0.139487873,-3.272902307,0.476353186,0.064891847
"Troy Brown Jr.",-0.057716227,-1.95482749,0.533668582,0.128318584
"Devin Robinson",-2.729440147,1.500920999,0.166666667,0.09375
"Sam Dekker",-0.076843391,-1.842995293,0.473674155,0.028571428
"Chasson Randle",0.139670021,-2.243482558,0.598568207,0.153110048
"Jabari Parker",-0.047216806,-0.80977331,0.655687012,0.241728136
"Thomas Bryant",-0.025590071,-1.702779471,0.564906367,0.006198347
"Dwight Howard",-2,-3.896792735,0.083333333,0.029411765
"Ian Mahinmi",-2.369699959,3.238064544,0.355555556,0.00952381
"Tomas Satoransky",0.080423085,-0.550261995,0.843484619,0.178743021
"Jeff Green",0.035986395,-0.910586592,0.60874512,0.088899246
"Jordan McRae",-0.071884057,-0.638691746,0.444444444,0.253968254
